Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Wine,CASILLERO DEL DIABLO MERLOT RED 13.5%,750ML,6,555.0,648,1440.0,92.5,120.0,240.0
Wine,CASILLERO DEL DIABLO SHIRAZ RED 13.5%,750ML,6,545.0,648,1440.0,90.83,120.0,240.0
Wine,GANCIA VINO ROSSO MEDIUM DRY 11.5%,750ML,6,455.0,540,1200.0,75.83,100.0,200.0
Wine,GRAND SUD GRENACHE LIEBLICH IGP WINE 13%,1L,6,475.0,594,1320.0,79.17,110.0,220.0
Wine,JACOBS CREEK CHARDONNAY PINOT NOIR,750ML,6,675.0,810,1800.0,112.5,150.0,300.0
Wine,JACOBS CREEK CHARDONNAY WINE 12.8%,750ML,12,675.0,864,1920.0,57.25,80.0,160.0
Wine,JACOBS CREEK CHARDONNAY WINE 12.5%,750ML,6,440.0,540,1200.0,73.33,100.0,200.0
Wine,JACOBS CREEK MOSCATO WHITE 7.5%,750ML,6,440.0,540,1200.0,73.33,100.0,200.0
Wine,JACOBS CREEK MERLO WINE 13.9%,750ML,12,705.0,864,1920.0,59.75,80.0,160.0
Wine,JACOBS CREEK MERLOT WINE 14%,750ML,6,455.0,540,1200.0,75.83,100.0,200.0
Wine,JACOBS CREEK PINOT GRIGIO,750ML,6,460.0,540,1200.0,76.67,100.0,200.0
Wine,JACOBS CREEK RESERVE SHIRAZ BAROSSA,750ML,6,715.0,864,1920.0,119.17,160.0,320.0
Wine,JACOBS CREEK SAUVIGNON BLANC,750ML,12,715.0,864,1920.0,60.58,80.0,160.0
Wine,JACOBS CREEK SHIRAZ CAB WINE 13.9%,750ML,12,715.0,864,1920.0,60.58,80.0,160.0
Wine,JACOBS CREEK SHIRAZ GRENACHE,750ML,6,460.0,540,1200.0,76.67,100.0,200.0
Wine,JACOBS CREEK SHIRAZ ROSE 11.5%,750ML,12,715.0,864,1920.0,60.58,80.0,160.0
Wine,JACOBS CREEK SHIRAZ ROSE,750ML,6,460.0,540,1200.0,76.67,100.0,200.0
Wine,JACOBS CREEK SHIRAZ WINE 13.9%,750ML,12,720.0,864,1920.0,60.0,80.0,160.0
Wine,JACOBS CREEK SPARKLING ROSE 14.5%,750ML,6,655.0,810,1800.0,109.17,150.0,300.0
Wine,JP CHENET CAB SYRAH ROUGE 13%,750ML,6,525.0,648,1440.0,87.5,120.0,240.0
Wine,JP CHENET MERLOT 13.5%,750ML,6,520.0,648,1440.0,86.67,120.0,240.0
Wine,JP CHENET ORIGINAL CAB-SAUV 13.5%,750ML,6,530.0,648,1440.0,88.33,120.0,240.0
Wine,JP CHENET SHIRAZ 13.5%,750ML,6,525.0,648,1440.0,87.5,120.0,240.0
Wine,JP CHENET RESERVE PINOT NOIR 12.5%,750ML,6,515.0,648,1440.0,85.83,120.0,240.0
Wine,LA BAUME PINOT NOIR ROSE,750ML,6,535.0,648,1440.0,89.17,120.0,240.0
Wine,LAGARADA CABERNET SCREW 12%,750ML,6,455.0,540,1200.0,75.83,100.0,200.0
Wine,LAGARADA MERLOT SCREW 12%,750ML,6,455.0,540,1200.0,75.83,100.0,200.0
Wine,LAGARADA ROSE 11%,750ML,6,455.0,540,1200.0,75.83,100.0,200.0
Wine,LAGARADA SHIRAZ SCREW 12%,750ML,6,455.0,540,1200.0,75.83,100.0,200.0
Wine,LINDEMANS BIN 40 MERLOT 14%,750ML,6,570.0,702,1560.0,95.0,130.0,260.0
Wine,LINDEMANS BIN 45 CAERNET SAUVIG 14%,750ML,6,570.0,702,1560.0,95.0,130.0,260.0
Wine,LOUIS ESCHENAUER BORDEAUX MERLOT 12.5%,750ML,6,450.0,540,1200.0,75.0,100.0,200.0
Wine,MARQUIS D OREY PRESTIGE ROUGE 11%,750ML,6,525.0,648,1440.0,87.5,120.0,240.0
Wine,MATEUS ROSE 11%,1L,6,555.0,648,1440.0,92.5,120.0,240.0
Wine,MONTMEYRAC RED 12%,750ML,6,505.0,594,1320.0,84.17,110.0,220.0
Wine,PENFOLDS KOONUNGA HILL SHIRAZ CAB 14.5%,75CL,12,1055.0,1296,2880.0,87.92,120.0,240.0
Wine,PENFOLDS KOONUNGA HILL CHARDONNY 13%,750ML,6,630.0,756,1680.0,105.0,140.0,280.0
