Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Premium Spirits & Liquors,JURA 40% 10Y,1L,12,1735.0,2340,4680,144.58,200,390
Premium Spirits & Liquors,JURA 40% 16Y,1L,12,2440.0,3290,6590,203.33,270,550
Premium Spirits & Liquors,JURA ISLANDERS EXPRESSIONS 40%,1L,6,1310.0,1770,3540,218.33,290,590
Premium Spirits & Liquors,JURA PROPHECY SINGLE MALT,1L,12,2640.0,3560,7130,220.0,300,590
Premium Spirits & Liquors,JURA SUPERSTITION 43%,1L,12,1930.0,2610,5210,160.83,220,430
Premium Spirits & Liquors,JURA THE BAY 12Y 44%,1L,6,1550.0,2090,4190,258.33,350,700
Premium Spirits & Liquors,JURA THE ROAD MALT 43.6%,1L,6,1585.0,2140,4280,264.17,360,710
Premium Spirits & Liquors,JURA THE SOUND MALT 42.5%,1L,6,1260.0,1700,3400,210.0,280,570
Premium Spirits & Liquors,JURA TURAS MARA SINGLE MALT TRE,1L,12,2060.0,2780,5560,171.67,230,460
Premium Spirits & Liquors,JW & SONS KING GEORGE V 43%,750ML,4,7445.0,10050,20100,1861.25,2510,5030
Premium Spirits & Liquors,JW AGED 18Y 40%,1L,6,1690.0,2280,4560,281.67,380,760
Premium Spirits & Liquors,JW AGED 18Y 40%,750ML,6,1410.0,1900,3810,235.0,320,630
Premium Spirits & Liquors,JW BLACK LABEL (2 HIGHBALL GLASSES) 40%,700ML,6,855.0,1150,2310,142.5,190,380
Premium Spirits & Liquors,JW BLACK LABEL 12Y 40%,1L,12,1510.0,2040,4080,125.83,170,340
Premium Spirits & Liquors,JW BLACK LABEL 12Y 40%,750ML,12,1455.0,1960,3930,121.25,160,330
Premium Spirits & Liquors,JW BLACK LABEL 40%,1.125L,6,1005.0,1360,2710,167.5,230,450
Premium Spirits & Liquors,JW BLACK LABEL 40%,1.75L,6,1385.0,1870,3740,230.83,310,620
Premium Spirits & Liquors,JW BLACK LABEL 40%,375ML,24,1510.0,2040,4080,62.92,80,170
Premium Spirits & Liquors,JW BLACK LABEL 40%,3L,3,1410.0,1900,3810,470.0,630,1270
Premium Spirits & Liquors,JW BLACK LABEL 40%,500ML,12,835.0,1130,2250,69.58,90,190
Premium Spirits & Liquors,JW BLACK LABEL 40%,50ML,192,1390.0,1880,3750,7.24,10,20
Premium Spirits & Liquors,JW BLACK LABEL LOWLANDS ORIGIN 42%,1L,12,1735.0,2340,4680,144.58,200,390
Premium Spirits & Liquors,JW BLACK LABEL SPEYSIDE ORIGIN 42%,1L,12,1735.0,2340,4680,144.58,200,390
Premium Spirits & Liquors,JW BLACK LABEL TRIPLE CASK EDITION 40%,1L,12,1610.0,2170,4350,134.17,180,360
Premium Spirits & Liquors,JW BLACK LABEL+(JW DB 5CL+JW GL 5CL) 750MLx,,6,855.0,1150,2310,142.5,190,380
Premium Spirits & Liquors,JW BLACK SQUID GAMES 40%,750ML,12,1410.0,1900,3810,117.5,160,320
Premium Spirits & Liquors,JW BLUE LABEL 40%,1L,6,4005.0,5410,10810,667.5,900,1800
Premium Spirits & Liquors,JW BLUE LABEL 40%,750ML,6,3540.0,4780,9560,590.0,800,1590
Premium Spirits & Liquors,JW DOUBLE BLACK 40%,1L,12,1680.0,2270,4540,140.0,190,380
Premium Spirits & Liquors,JW DOUBLE BLACK 40%,750ML,6,915.0,1240,2470,152.5,210,410
Premium Spirits & Liquors,JW GOLD LABEL RESERVE 40%,1L,6,1235.0,1670,3330,205.83,280,560
Premium Spirits & Liquors,JW GOLD LABEL RESERVE 40%,200ML,24,950.0,1280,2570,39.58,50,110
Premium Spirits & Liquors,JW GOLD LABEL RESERVE 40%,750ML,6,1120.0,1510,3020,186.67,250,500
Premium Spirits & Liquors,JW ISLAND GREEN LABEL 43%,1L,6,1235.0,1670,3330,205.83,280,560
Premium Spirits & Liquors,JW RED LABEL 40%,1.125L,6,730.0,990,1970,121.67,160,330
